ID,y
0,3
1,3
2,3
3,2
4,4
5,0
6,0
7,3
8,1
9,4
10,4
11,3
12,3
13,3
14,0
15,0
16,3
17,0
18,4
19,1
20,3
21,3
22,4
23,3
24,4
25,0
26,3
27,0
28,2
29,4
30,4
31,4
32,3
33,0
34,4
35,4
36,2
37,2
38,3
39,0
40,0
41,1
42,3
43,4
44,4
45,4
46,0
47,2
48,3
49,0
50,4
51,4
52,3
53,1
54,2
55,4
56,4
57,0
58,2
59,2
60,3
61,1
62,0
63,2
64,4
65,3
66,4
67,3
68,2
69,2
70,4
71,2
72,0
73,3
74,4
75,0
76,3
77,3
78,3
79,4
80,4
81,0
82,2
83,0
84,1
85,4
86,0
87,3
88,4
89,4
90,4
91,2
92,1
93,4
94,4
95,4
96,4
97,0
98,2
99,0
100,3
101,3
102,0
103,3
104,4
105,4
106,4
107,0
108,0
109,4
110,4
111,2
112,4
113,0
114,3
115,3
116,4
117,2
118,4
119,1
120,4
121,0
122,0
123,0
124,0
125,3
126,4
127,3
128,0
129,3
130,4
131,0
132,3
133,4
134,3
135,4
136,1
137,4
138,1
139,4
140,3
141,2
142,4
143,4
144,4
145,0
146,3
147,4
148,4
149,4
150,4
151,3
152,4
153,0
154,1
155,0
156,4
157,3
158,4
159,4
160,3
161,2
162,3
163,0
164,3
165,4
166,0
167,4
168,1
169,2
170,3
171,0
172,4
173,1
174,4
175,3
176,4
177,4
178,4
179,4
180,0
181,4
182,0
183,4
184,0
185,0
186,2
187,3
188,4
189,4
190,0
191,3
192,3
193,3
194,3
195,0
196,0
197,4
198,4
199,0
200,4
201,0
202,4
203,4
204,1
205,4
206,2
207,1
208,2
209,2
210,4
211,1
212,3
213,3
214,4
215,3
216,0
217,0
218,3
219,3
220,0
221,4
222,0
223,2
224,2
225,4
226,0
227,4
228,4
229,3
230,4
231,4
232,4
233,1
234,0
235,4
236,2
237,0
238,0
239,3
240,4
241,4
242,4
243,3
244,4
245,3
246,3
247,4
248,3
249,3
250,4
251,0
252,3
253,4
254,4
255,0
256,3
257,3
258,4
259,0
260,3
261,0
262,0
263,3
264,3
265,1
266,2
267,4
268,4
269,4
270,4
271,4
272,3
273,4
274,3
275,3
276,2
277,4
278,4
279,1
280,4
281,0
282,0
283,2
284,1
285,0
286,2
287,0
288,3
289,4
290,4
291,4
292,0
293,3
294,4
295,3
296,4
297,0
298,3
299,3
300,4
301,3
302,4
303,4
304,4
305,0
306,3
307,0
308,4
309,0
310,4
311,3
312,4
313,3
314,4
315,4
316,3
317,0
318,4
319,1
320,0
321,4
322,2
323,2
324,3
325,0
326,4
327,0
328,4
329,0
330,2
331,4
332,3
333,4
334,0
335,4
336,4
337,4
338,4
339,3
340,0
341,3
342,4
343,4
344,4
345,4
346,3
347,4
348,3
349,0
350,1
351,1
352,2
353,4
354,0
355,1
356,4
357,1
358,3
359,3
360,0
361,0
362,4
363,4
364,2
365,4
366,3
367,3
368,4
369,2
370,0
371,0
372,0
373,4
374,0
375,4
376,0
377,4
378,0
379,4
380,0
381,4
382,4
383,1
384,2
385,4
386,4
387,1
388,1
389,1
390,2
391,2
392,0
393,4
394,2
395,0
396,0
397,4
398,4
399,4
400,3
401,4
402,3
403,4
404,3
405,3
406,0
407,2
408,4
409,4
410,4
411,0
412,4
413,3
414,4
415,4
416,3
417,3
418,4
419,4
420,3
421,3
422,0
423,4
424,2
425,3
426,4
427,4
428,4
429,3
430,3
431,4
432,4
433,0
434,3
435,0
436,4
437,0
438,0
439,0
440,4
441,3
442,0
443,0
444,0
445,3
446,2
447,3
448,0
449,4
450,3
451,2
452,2
453,1
454,0
455,4
456,0
457,0
458,3
459,0
460,0
461,0
462,3
463,4
464,2
465,1
466,4
467,4
468,1
469,3
470,3
471,4
472,3
473,0
474,3
475,0
476,3
477,1
478,2
479,0
480,2
481,1
482,1
483,4
484,0
485,0
486,3
487,4
488,3
489,3
490,4
491,3
492,4
493,4
