ID,y
0,2
1,2
2,2
3,1
4,4
5,3
6,3
7,2
8,4
9,0
10,4
11,1
12,1
13,2
14,3
15,3
16,2
17,3
18,4
19,4
20,1
21,1
22,4
23,1
24,4
25,3
26,2
27,3
28,1
29,0
30,0
31,0
32,2
33,3
34,0
35,4
36,1
37,1
38,2
39,3
40,3
41,0
42,2
43,0
44,4
45,4
46,3
47,1
48,1
49,3
50,4
51,0
52,2
53,1
54,1
55,4
56,4
57,3
58,3
59,3
60,1
61,4
62,3
63,2
64,4
65,2
66,4
67,2
68,1
69,1
70,4
71,1
72,3
73,2
74,4
75,3
76,2
77,2
78,2
79,0
80,4
81,3
82,1
83,3
84,4
85,4
86,3
87,2
88,4
89,4
90,4
91,3
92,4
93,4
94,4
95,4
96,0
97,3
98,2
99,3
100,2
101,2
102,3
103,2
104,4
105,0
106,4
107,3
108,3
109,0
110,4
111,1
112,4
113,3
114,2
115,2
116,0
117,3
118,0
119,3
120,0
121,3
122,3
123,3
124,3
125,1
126,4
127,2
128,3
129,2
130,0
131,3
132,2
133,0
134,1
135,4
136,4
137,4
138,4
139,4
140,1
141,1
142,4
143,4
144,1
145,3
146,2
147,0
148,4
149,4
150,0
151,2
152,4
153,3
154,4
155,3
156,4
157,2
158,4
159,0
160,2
161,1
162,1
163,3
164,1
165,4
166,3
167,4
168,0
169,1
170,2
171,3
172,1
173,4
174,4
175,1
176,4
177,0
178,4
179,4
180,3
181,4
182,3
183,4
184,3
185,3
186,2
187,1
188,4
189,4
190,3
191,2
192,1
193,2
194,1
195,3
196,3
197,4
198,4
199,3
200,4
201,3
202,0
203,4
204,2
205,2
206,1
207,4
208,3
209,1
210,0
211,2
212,2
213,1
214,4
215,2
216,3
217,3
218,1
219,2
220,3
221,4
222,3
223,1
224,2
225,4
226,3
227,0
228,0
229,1
230,1
231,4
232,4
233,4
234,3
235,4
236,3
237,3
238,3
239,2
240,4
241,4
242,0
243,2
244,0
245,1
246,1
247,0
248,2
249,2
250,0
251,3
252,2
253,4
254,4
255,3
256,1
257,2
258,0
259,3
260,2
261,3
262,3
263,2
264,2
265,4
266,0
267,0
268,0
269,0
270,0
271,4
272,1
273,4
274,2
275,2
276,1
277,4
278,0
279,2
280,4
281,3
282,3
283,1
284,0
285,3
286,1
287,3
288,1
289,4
290,4
291,4
292,3
293,2
294,4
295,2
296,0
297,3
298,1
299,1
300,0
301,1
302,4
303,4
304,4
305,3
306,2
307,3
308,4
309,3
310,4
311,2
312,0
313,2
314,4
315,4
316,2
317,3
318,4
319,4
320,3
321,4
322,3
323,1
324,2
325,3
326,4
327,3
328,4
329,3
330,1
331,4
332,2
333,0
334,3
335,4
336,4
337,4
338,0
339,2
340,3
341,2
342,0
343,4
344,0
345,1
346,1
347,4
348,1
349,3
350,0
351,0
352,3
353,0
354,3
355,4
356,0
357,4
358,2
359,2
360,3
361,3
362,4
363,0
364,1
365,0
366,1
367,2
368,4
369,1
370,3
371,3
372,3
373,4
374,3
375,0
376,3
377,0
378,3
379,4
380,3
381,3
382,4
383,0
384,1
385,4
386,4
387,4
388,4
389,0
390,1
391,1
392,3
393,0
394,2
395,3
396,3
397,4
398,0
399,4
400,2
401,4
402,1
403,4
404,1
405,1
406,3
407,3
408,4
409,4
410,4
411,3
412,4
413,2
414,0
415,4
416,1
417,2
418,0
419,1
420,2
421,2
422,3
423,4
424,2
425,1
426,3
427,4
428,0
429,2
430,1
431,0
432,4
433,3
434,2
435,3
436,0
437,3
438,3
439,3
440,4
441,1
442,3
443,3
444,3
445,2
446,3
447,2
448,3
449,0
450,1
451,2
452,1
453,4
454,3
455,4
456,3
457,3
458,3
459,3
460,3
461,3
462,2
463,4
464,1
465,4
466,4
467,4
468,0
469,2
470,2
471,0
472,2
473,3
474,1
475,3
476,1
477,2
478,1
479,3
480,3
481,0
482,1
483,4
484,3
485,3
486,1
487,4
488,1
489,2
490,0
491,2
492,1
493,1
